tests/js/t12223.nim JS -d:nodejs -d:release                 ( 0.25577211 secs)
tests/js/t6612.nim JS -d:nodejs                             ( 0.28780508 secs)
tests/js/t6612.nim JS -d:nodejs -d:release                  ( 0.32782722 secs)
tests/js/t7224.nim JS -d:nodejs                             ( 0.26374578 secs)
tests/js/t7224.nim JS -d:nodejs -d:release                  ( 0.25653195 secs)
tests/js/t7249.nim JS -d:nodejs                             ( 0.31447530 secs)
tests/js/t7249.nim JS -d:nodejs -d:release                  ( 0.32661676 secs)
tests/js/t7534.nim JS -d:nodejs                             ( 0.24812484 secs)
tests/js/t7534.nim JS -d:nodejs -d:release                  ( 0.25078797 secs)
tests/js/t8914.nim JS -d:nodejs                             ( 0.24366927 secs)
tests/js/t8914.nim JS -d:nodejs -d:release                  ( 0.27105117 secs)
tests/js/t9410.nim JS -d:nodejs                             ( 0.35893273 secs)
tests/js/t9410.nim JS -d:nodejs -d:release                  ( 0.42015100 secs)
tests/js/taddr.nim JS -d:nodejs                             ( 0.26273203 secs)
tests/js/taddr.nim JS -d:nodejs -d:release                  ( 0.25177693 secs)
tests/js/tarrayboundscheck.nim JS -d:nodejs                 ( 0.25575352 secs)
tests/js/tarrayboundscheck.nim JS -d:nodejs -d:release      ( 0.27300048 secs)
tests/js/tasync.nim JS -d:nodejs                            ( 0.43515134 secs)
tests/js/tasync.nim JS -d:nodejs -d:release                 ( 0.33503079 secs)
tests/js/tasync_pragma.nim JS -d:nodejs                     ( 0.33593345 secs)
tests/js/tasync_pragma.nim JS -d:nodejs -d:release          ( 0.33583283 secs)
tests/js/tbasics.nim JS -d:nodejs                           ( 0.26384878 secs)
tests/js/tbasics.nim JS -d:nodejs -d:release                ( 0.25526261 secs)
tests/js/tbyvar.nim JS -d:nodejs                            ( 0.36379910 secs)
tests/js/tbyvar.nim JS -d:nodejs -d:release                 ( 0.41660285 secs)
tests/js/tclosures.nim JS -d:nodejs                         ( 0.78296232 secs)
tests/js/tclosures.nim JS -d:nodejs -d:release              ( 0.70733929 secs)
tests/js/tcodegendeclproc.nim JS -d:nodejs                  ( 0.32461548 secs)
tests/js/tcodegendeclproc.nim JS -d:nodejs -d:release       ( 0.28778148 secs)
tests/js/tcodegendeclvar.nim JS -d:nodejs                   ( 0.26018786 secs)
tests/js/tcodegendeclvar.nim JS -d:nodejs -d:release        ( 0.33492613 secs)
tests/js/tconsole.nim JS -d:nodejs                          ( 0.27790093 secs)
tests/js/tconsole.nim JS -d:nodejs -d:release               ( 0.30720210 secs)
tests/js/tcopying.nim JS -d:nodejs                          ( 0.26359415 secs)
tests/generics/t2tables.nim C                               ( 0.69792318 secs)
tests/generics/t5602_inheritence.nim C                      ( 0.63333488 secs)
tests/generics/t5602_inheritence.nim C++                    ( 3.26136732 secs)
tests/generics/t6137.nim C                                  ( 0.28857827 secs)
tests/generics/t7141.nim C                                  ( 0.29004693 secs)
tests/generics/t8270.nim C                                  ( 0.29641819 secs)
tests/generics/tarc_misc.nim C                              ( 0.68756056 secs)
tests/generics/tbadgenericlambda.nim C                      ( 0.30785656 secs)
tests/generics/tcannot_pass_empty_seq_to_generic.nim C      ( 0.29028320 secs)
tests/generics/tcritical.nim C                              ( 0.29266357 secs)
tests/generics/tforwardgeneric.nim C                        ( 0.63931012 secs)
tests/generics/tgenerics_issues.nim C                       ( 1.10129213 secs)
tests/generics/tgenerics_various.nim C                      ( 1.54783535 secs)
tests/generics/tlateboundgenericparams.nim C                ( 0.70792937 secs)
tests/generics/tlateboundstatic.nim C                       ( 0.63593817 secs)
tests/generics/tmetafield.nim C                             ( 0.27216077 secs)
tests/generics/tparam_binding.nim C                         ( 0.30048752 secs)
tests/generics/tparser_generator.nim C                      ( 1.66355205 secs)
tests/generics/tprevent_double_bind.nim C                   ( 0.33983016 secs)
tests/generics/trtree.nim C                                 ( 6.71229196 secs)
tests/generics/tsubclassgenericerror.nim C                  ( 0.29881477 secs)
tests/generics/tthread_generic.nim C                        ( 1.35650063 secs)
tests/generics/twrong_explicit_typeargs.nim C               ( 0.31462836 secs)
tests/generics/twrong_floatlit_type.nim C                   ( 0.65528154 secs)
tests/generics/twrong_generic_object.nim C                  ( 0.31573820 secs)
tests/js/tcopying.nim JS -d:nodejs -d:release               ( 0.25961828 secs)
tests/js/tderef.nim JS -d:nodejs                            ( 0.33570170 secs)
tests/js/tderef.nim JS -d:nodejs -d:release                 ( 0.34778762 secs)
tests/js/tenumhole.nim JS -d:nodejs                         ( 0.25179219 secs)
tests/js/tenumhole.nim JS -d:nodejs -d:release              ( 0.30840182 secs)
tests/js/tenumnegkey.nim JS -d:nodejs                       ( 0.39103413 secs)
tests/js/tenumnegkey.nim JS -d:nodejs -d:release            ( 0.27473378 secs)
tests/js/tenumoffset.nim JS -d:nodejs                       ( 0.25577259 secs)
tests/js/tenumoffset.nim JS -d:nodejs -d:release            ( 0.25983334 secs)
tests/js/test1.nim JS -d:nodejs                             ( 0.59175324 secs)
tests/js/test1.nim JS -d:nodejs -d:release                  ( 0.63982010 secs)
tests/js/test2.nim JS -d:nodejs                             ( 0.26776338 secs)
tests/js/test2.nim JS -d:nodejs -d:release                  ( 0.25179935 secs)
tests/js/testmagic.nim JS -d:nodejs                         ( 0.25573301 secs)
tests/js/testmagic.nim JS -d:nodejs -d:release              ( 0.27188921 secs)
